"此阔涧一跃而过，岂非天意！
",surprise
"周泰曰：吾再救去。“遂轮枪复翻身杀入重围之中，救出徐盛。二将各带重伤。吕蒙教军士乱箭射住岸上兵，救二将下船。却说陈武与庞德大战，后面又无应兵，被庞德赶到峪口，树林丛密；陈武再欲回身交战，被树株抓往袍袖，不能迎敌，为庞德所杀。曹操见孙权走脱了，自策马驱兵，赶到江边对射。吕蒙箭尽，正慌间，忽对江一宗船到，为首一员大将，乃是孙策女婿陆逊，自引十万兵到；一阵射退曹兵，乘势登岸追杀曹兵，复夺战马数千匹，曹兵伤者，不计其数，大败而回。于乱军中寻见陈武尸首，孙权知陈武已亡，董袭又沉江而死，哀痛至切，令人入水中寻见董袭尸首，与陈武尸一齐厚葬之。又感周泰救护之功，设宴款之。权亲自把盏，抚其背，泪流满面，曰：卿两番相救，不惜性命，被枪数十，肤如刻画，孤亦何心不待卿以骨肉之恩、委卿以兵马之重乎！卿乃孤之功臣，孤当与卿共荣辱、同休戚也。“言罢，令周泰解衣与众将观之：皮肉肌肤，如同刀剜，盘根遍体。孙权手指其痕，一一问之。周泰具言战斗被伤之状。一处伤令吃一觥酒。是日，周泰大醉。权以青罗伞赐之，令出入张盖，以为显耀。权在濡须，与操相拒月余，不能取胜。张昭，顾雍上言：曹操势大，不可力取；若与久战，大损士卒：不若求和安民为上。“孙权从其言，令步骘往曹营求和，许年纳岁贡。操见江南急未可下，乃从之，令：孙权先撤人马，吾然后班师。“步骘回覆，权只留蒋钦、周泰守濡须口，尽发大兵上船回秣陵。操留曹仁、张辽屯合淝，班师回许昌。文武众官皆议立曹操为魏王。尚书崔琰力言不可。众官曰：“汝独不见荀文若乎？
",neutral
"诸将退后者斩！
",neutral
"魏延在此！
",neutral
"关某威震华夏，未逢对手；今遇令明，真劲敌也。
",neutral
"某正欲与大王出力，何故不肯见用？
",angry
"德拜谢回家，令匠人造一木榇。次日，请诸友赴席，列榇于堂。众亲友见之，皆惊问曰：将军出师，何用此不祥之物？“德举杯谓亲友曰：吾受魏王厚恩，誓以死报。今去樊城与关某决战，我若不能杀彼，必为彼所杀；即不为彼所杀，我亦当自杀。故先备此榇，以示无空回之理。“众皆嗟叹。德唤其妻李氏与其子庞会出，谓其妻曰：吾今为先锋，义当效死疆场。我若死，汝好生看养吾儿；吾儿有异相，长大必当与吾报仇也。“妻子痛哭送别，德令扶榇而行。临行，谓部将曰：吾今去与关某死战，我若被关某所杀，汝等即取吾尸置此榇中；我若杀了关某，吾亦即取其首，置此榇内，回献魏王。“部将五百人皆曰：将军如此忠勇，某等敢不竭力相助！“于是引军前进。有人将此言报知曹操。操喜曰：庞德忠勇如此，孤何忧焉！“贾诩曰：庞德恃血气之勇，欲与关某决死战，臣窃虑之。“操然其言，急令人传旨戒庞德曰：关某智勇双全，切不可轻敌。可取则取，不可取则宜谨守。“庞德闻命，谓众将曰：大王何重视关某也？
",neutral
"曹操差于禁为将，领七枝精壮兵到来。前部先锋庞德，军前抬一木榇，口出不逊之言，誓欲与将军决一死战。兵离城止三十里矣。
",neutral
"关云长在此，庞德何不早来受死！
",angry
"庞德刀法惯熟，真吾敌手。
",neutral
"庞贼！欲使拖刀计，吾岂惧汝？
",angry
"吾誓报此一箭之仇！
",happy
"樊城北十里山谷，是何地名？
",neutral
"军士折伤大半，四下无路，不如投降。
",neutral
"成何依令向前，被关公一箭射落水中。众军皆降，止有庞德一人力战。正遇荆州数十人，驾小船近堤来，德提刀飞身一跃，早上小船，立杀十余人，余皆弃船赴水逃命。庞德一手提刀，一手使短棹，欲向樊城而走。只见上流头，一将撑大筏而至，将小船撞翻，庞德落于水中。船上那将跳下水去，生擒庞德上船。众视之，擒庞德者，乃周仓也。仓素知水性，又在荆州住了数年，愈加惯熟；更兼力大，因此擒了庞德。于禁所领七军，皆死于水中。其会水者料无去路，亦皆投降。后人有诗曰：夜半征鼙响震天，襄樊平地作深渊。关公神算谁能及，华夏威名万古传。“关公回到高阜去处，升帐而坐。群刀手押过于禁来。禁拜伏于地，乞哀请命。关公曰：“汝怎敢抗吾？
",neutral
"汝兄现在汉中；汝故主马超，亦在蜀中为大将。汝如何不早降？
",angry
"某素知云长智勇盖世，今据荆襄，如虎生翼。于禁被擒，庞德被斩，魏兵挫锐；倘彼率兵直至许都，如之奈何？孤欲迁都以避之。
",neutral
"于禁从孤三十年，何期临危反不如庞德也！今一面遣使致书东吴，一面必得一大将以当云长之锐。
",neutral
"近闻云长擒于禁，斩庞德，威震华夏，操欲迁都以避其锋。今樊城危急，遣使求救，事定之后，恐有反覆。
",neutral
